诗编号,作者,卷编号,篇名,题材特征,末句韵部
77,李世民,卷1_66,赋帘,1301330,0
78,李世民,卷1_67,咏乌代陈师道,11010,7
79,李世民,卷1_68,咏饮马,1000101,22
80,李世民,卷1_69,赋得残菊,100202,21
81,李世民,卷1_70,赋秋日悬清光赐房玄龄,1200010,4
82,李世民,卷1_71,琵琶,312021,3
83,李世民,卷1_72,宴中山,2001101,21
84,李世民,卷1_73,饯中书侍郎来济,232212,21
85,李世民,卷1_74,于太原召侍臣赐宴守岁,111101,10
86,李世民,卷1_75,咏烛二首（1）,210001,10
87,李世民,卷1_75,咏烛二首（2）,1201011,22
88,李世民,卷1_76,咏弓,201110,45
89,李世民,卷1_77,赋得早雁出云鸣,200100,22
90,李世民,卷1_78,赋得临池柳,1000000,5
91,李世民,卷1_79,赋得临池竹,1000000,21
92,李世民,卷1_80,赋得弱柳鸣秋蝉,101100,15
93,李世民,卷1_81,探得李,0,15
94,李世民,卷1_82,咏小山,0,15
95,李世民,卷1_83,赐萧瑀,100001,10
96,李世民,卷1_84,赐房玄龄,1021102,9
97,李世民,卷1_85,辽东山夜临秋,1102111,26
98,李世民,卷1_86,赐魏徵诗,110,68
99,李世民,卷1_21,两仪殿赋柏梁体,1110000,22
100,李世民,卷1_22,句（1）,1000,36
101,李世民,卷1_22,句（2）,0,9
102,李世民,卷1_22,句（3）,0,22
103,李治,卷2_1,太子纳妃太平公主出降,5421112,10
104,李治,卷2_2,七夕宴悬圃二首（1）,202020,13
105,李治,卷2_2,七夕宴悬圃二首（2）,221020,21
106,李治,卷2_3,过温汤,1000000,22
107,李治,卷2_4,九月九日,3513523,21
108,李治,卷2_5,谒慈恩寺题奘法师房,1200112,4
109,李治,卷2_6,谒大慈恩寺,1301021,26
110,李治,卷2_7,守岁,322102,10
111,李治,卷2_8,咸亨殿宴近臣诸亲柏梁体,0,10
112,李显,卷2_9,九月九日幸临渭亭登高得秋字,1210103,25
113,李显,卷2_10,登骊山高顶寓目,1012171,6
114,李显,卷2_11,幸秦始皇陵,2100010,5
115,李显,卷2_12,立春日游苑迎春,3312233,20
116,李显,卷2_13,十月诞辰内殿宴群臣效柏梁体联句,22311,9
117,李显,卷2_14,景龙四年正月五日移仗蓬莱宫御大明殿会吐…柏梁体联句,2111130,21
118,李显,卷2_15,石淙（太子时作）,2101202,22
119,李旦,卷2_16,石淙（相王时作）,1002111,27
120,李隆基,卷3_1,过晋阳宫,3012040,6
121,李隆基,卷3_2,行次成皋途经先圣擒建德之所缅思功业感而赋诗,3000010,22
122,李隆基,卷3_3,校猎义成喜逢大雪率题九韵以示群官,1113121,75
123,李隆基,卷3_4,赐诸州刺史以题座右,1410001,21
124,李隆基,卷3_5,送忠州太守康昭远等,201111,33
125,李隆基,卷3_6,送李邕之任滑台,131011,10
126,李隆基,卷3_7,端午三殿宴群臣探得神字,3301021,10
127,李隆基,卷3_8,温汤对雪,2000,97
128,李隆基,卷3_9,登蒲州逍遥楼,4212010,10
129,李隆基,卷3_10,经河上公庙,3000000,22
130,李隆基,卷3_11,过王濬墓,2100031,21
131,李隆基,卷3_12,初入秦川路逢寒食,3451214,9
132,李隆基,卷3_13,春台望,5635445,26
133,李隆基,卷3_14,过大哥宅探得歌字韵,212111,19
134,李隆基,卷3_15,同玉真公主过大哥山池,1323020,22
135,李隆基,卷3_16,经邹鲁祭孔子而叹之,1300010,0
136,李隆基,卷3_17,惟此温泉是称愈疾岂予独受其福思与兆人共之…言其志,1001211,15
137,李隆基,卷3_18,旋师喜捷,2115010,4
138,李隆基,卷3_19,过老子庙,3011001,26
139,李隆基,卷3_20,途次陕州,2111121,0
140,李隆基,卷3_21,野次喜雪,111010,0
141,李隆基,卷3_22,送贺知章归四明,1010000,26
142,李隆基,卷3_23,轩游宫十五夜,1352040,3
143,李隆基,卷3_24,观拔河俗戏,1001202,19
144,李隆基,卷3_25,同刘晃喜雨,1300001,10
145,李隆基,卷3_26,千秋节赐群臣镜,2302020,26
146,李隆基,卷3_27,赐道士邓紫阳,1001000,6
147,李隆基,卷3_28,幸蜀西至剑门,2100000,9
148,李隆基,卷3_29,答司马承祯上剑镜,3101010,21
149,李隆基,卷3_30,送赵法师还蜀因名山奠简,4012222,15
150,李隆基,卷3_31,送道士薛季昌还山,3000010,5
151,李隆基,卷3_32,送玄同真人李抱朴谒灊山仙祠,2111120,16
152,李隆基,卷3_33,春日出苑游瞩（太子时作）,1412204,10
153,李隆基,卷3_34,春晚宴两相及礼官丽正殿学士探得风字,4110021,0
154,李隆基,卷3_35,首夏花萼楼观群臣宴宁王山亭回楼下又申之以赏乐赋诗,1444030,4
155,李隆基,卷3_36,同二相已下群官乐游园宴,223112,5
156,李隆基,卷3_37,集贤书院成，送张说上集贤学士，赐宴得珍字,3101010,10
157,李隆基,卷3_38,王屋山送道士司马承祯还天台,3112230,10
158,李隆基,卷3_39,早度蒲津关,1334122,0
159,李隆基,卷3_40,途经华岳,2101110,15
160,李隆基,卷3_41,喜雪,311021,22
161,李隆基,卷3_42,幸凤泉汤,3102131,0
162,李隆基,卷3_43,南出雀鼠谷答张说,1222123,10
163,李隆基,卷3_44,赐崔日知往潞州,2221020,26
164,李隆基,卷3_45,为赵法师别造精院过院赋诗,2210110,25
165,李隆基,卷3_46,端午,1000202,21
166,李隆基,卷3_47,春中兴庆宫酺宴,3221030,10
167,李隆基,卷3_48,千秋节宴,501123,21
168,李隆基,卷3_49,左丞相说右丞相璟太子少傅乾曜同日上官命宴东堂赐诗,2111030,10
169,李隆基,卷3_50,早登太行山中言志,5011113,21
170,李隆基,卷3_51,平胡,2004111,21
171,李隆基,卷3_52,游兴庆宫作,451322,3
172,李隆基,卷3_53,送张说巡边,2015040,21
173,李隆基,卷3_54,饯王晙巡边,1123231,6
174,李隆基,卷3_55,巡省途次上党旧宫赋,4333432,0
175,李隆基,卷3_56,潼关口号,11000,15
176,李隆基,卷3_57,千秋节赐群臣镜,202021,10
177,李隆基,卷3_58,续薛令之题壁,1,12
178,李隆基,卷3_59,送胡真师还西山,2111202,14
179,李隆基,卷3_60,过大哥山池题石壁,1110000,9
180,李隆基,卷3_61,题梅妃画真,0,10
181,李隆基,卷3_62,鶺鴒颂,3511120,7
182,李隆基,卷3_63,傀儡吟,100001,0
183,李隆基,卷3_64,句（1）,1100001,4
184,李隆基,卷3_64,句（2）,101,22
185,李亨,卷4_1,延英殿玉灵芝诗三章，章八句（1）,0,21
186,李亨,卷4_1,延英殿玉灵芝诗三章，章八句（2）,3000010,101
187,李亨,卷4_1,延英殿玉灵芝诗三章，章八句（3）,2100000,25
188,李亨,卷4_2,赐梨李泌与诸王联句,2000000,3
189,李适,卷4_3,中和节日宴百僚赐诗,1110001,10
190,李适,卷4_4,中和节赐百官燕集因示所怀,2413121,10
191,李适,卷4_5,重阳日赐宴曲江亭，赋六韵诗用清字,2201121,22
192,李适,卷4_6,九月十八赐百僚追赏因书所怀,1301211,22
193,李适,卷4_7,送徐州张建封还镇,310010,3
194,李适,卷4_8,麟德殿宴百僚,200020,21
195,李适,卷4_9,元日退朝观军仗归营,1033010,23
196,李适,卷4_10,中和节赐群臣宴赋七韵,2312222,21
197,李适,卷4_11,三日书怀因示百僚,2210212,10
198,李适,卷4_12,重阳日中外同欢，以诗言志，因示群官,1210201,6
199,李适,卷4_13,重阳日即事,1020101,0
200,李适,卷4_14,丰年多庆，九日示怀,4000201,0
201,李适,卷4_15,七月十五日题章敬寺,4221120,22
202,李适,卷4_16,中春麟德殿会百僚观新乐诗一章，章十六句,1200010,10
203,李适,卷4_17,九日绝句,1110000,19
204,李昂1,卷4_18,暮春喜雨诗,1200020,3
205,李昂1,卷4_19,题程修己竹障,3100000,11
206,李昂1,卷4_20,宫中题,200002,3
207,李昂1,卷4_21,上巳日赐裴度,1,48
208,李昂1,卷4_22,上元日二首（1）,2000001,15
209,李昂1,卷4_22,上元日二首（2）,1100001,7
210,李昂1,卷4_23,夏日联句,301000,21
211,李忱,卷4_24,百丈山,1414121,13
212,李忱,卷4_25,吊白居易,1011000,15
213,李忱,卷4_26,幸华严寺,1203121,0
214,李忱,卷4_27,重阳锡宴群臣,2000,15
215,李忱,卷4_28,题泾县水西寺,1000201,7
216,李忱,卷4_29,瀑布联句,0,18
217,李忱,卷4_30,句（1）,0,0
218,李忱,卷4_30,句（2）,0,6
219,李晔1,卷4_31,句,1,1
220,长孙氏,卷5_1,春游曲,702102,22
221,武则天,卷5_2,曳鼎歌,1000000,3
222,武则天,卷5_3,唐享昊天乐·第一,1101010,3
223,武则天,卷5_4,唐享昊天乐·第二,1100010,0
224,武则天,卷5_5,唐享昊天乐·第三,4100010,22
225,武则天,卷5_6,唐享昊天乐·第四,2000000,0
226,武则天,卷5_7,唐享昊天乐·第五,0,26
227,武则天,卷5_8,唐享昊天乐·第六,1000100,26
228,武则天,卷5_9,唐享昊天乐·第七,1000000,25
229,武则天,卷5_10,唐享昊天乐·第八,1010000,22
230,武则天,卷5_11,唐享昊天乐·第九,1001010,36
231,武则天,卷5_12,唐享昊天乐·第十,0,92
232,武则天,卷5_13,唐享昊天乐·第十一,0,22
233,武则天,卷5_14,唐享昊天乐·第十二,2000011,4
234,武则天,卷5_15,唐明堂乐章·外办将出,2100000,10
235,武则天,卷5_16,唐明堂乐章·皇帝行,2010000,19
236,武则天,卷5_17,唐明堂乐章·皇嗣出入升降,2100000,10
237,武则天,卷5_18,唐明堂乐章·迎送王公,100121,0
238,武则天,卷5_19,唐明堂乐章·登歌,0,10
239,武则天,卷5_20,唐明堂乐章·配飨,0,4
240,武则天,卷5_21,唐明堂乐章·宫音,1000010,23
241,武则天,卷5_22,唐明堂乐章·角音,1000000,92
242,武则天,卷5_23,唐明堂乐章·徵音,2010100,35
243,武则天,卷5_24,唐明堂乐章·商音,100010,22
244,武则天,卷5_25,唐明堂乐章·羽音,0,66
245,武则天,卷5_26,唐大飨拜洛乐章·昭和,2001020,0
246,武则天,卷5_27,唐大飨拜洛乐章·致和,3000020,21
247,武则天,卷5_28,唐大飨拜洛乐章·咸和,10000,24
248,武则天,卷5_29,唐大飨拜洛乐章·九和,0,23
249,武则天,卷5_30,唐大飨拜洛乐章·拜洛,2000000,3
250,武则天,卷5_31,唐大飨拜洛乐章·显和,2000101,6
251,武则天,卷5_32,唐大飨拜洛乐章·昭和,1010010,22
252,武则天,卷5_33,唐大飨拜洛乐章·敬和,1001201,75
253,武则天,卷5_34,唐大飨拜洛乐章·齐和,0,21
254,武则天,卷5_35,唐大飨拜洛乐章·德和,1001202,33
255,武则天,卷5_36,唐大飨拜洛乐章·禋和,1010000,62
256,武则天,卷5_37,唐大飨拜洛乐章·通和,3000030,26
257,武则天,卷5_38,唐大飨拜洛乐章·归和,0,6
258,武则天,卷5_39,唐大飨拜洛乐章·归和,2000000,22
259,武则天,卷5_40,唐武氏享先庙乐章,21,26
260,武则天,卷5_41,早春夜宴,120102,4
261,武则天,卷5_42,游九龙潭,1212304,1
262,武则天,卷5_43,赠胡天师,3113213,20
263,武则天,卷5_44,从驾幸少林寺,2503233,3
264,武则天,卷5_45,石淙,2101111,4
265,武则天,卷5_46,腊日宣诏幸上苑,200001,3
266,武则天,卷5_47,如意娘,10000,11
267,武则天,卷5_48,制袍字赐狄仁杰,0,10
268,徐贤妃,卷5_49,拟小山篇,0,51
269,徐贤妃,卷5_50,长门怨,1211111,75
270,徐贤妃,卷5_51,秋风函谷应诏,2312101,14
271,徐贤妃,卷5_52,赋得北方有佳人,1222011,22
272,徐贤妃,卷5_53,进太宗,1001010,9
273,上官昭容,卷5_54,奉和圣制立春日侍宴内殿出翦彩花应制,310001,5
274,上官昭容,卷5_55,九月九日上幸慈恩寺登浮图，群臣上菊花寿酒,1101112,9
275,上官昭容,卷5_56,彩书怨,121110,3
276,上官昭容,卷5_57,驾幸三会寺应制,14332,25
277,上官昭容,卷5_58,驾幸新丰温泉宫献诗三首（1）,2101011,15
278,上官昭容,卷5_58,驾幸新丰温泉宫献诗三首（2）,2101,9
279,上官昭容,卷5_58,驾幸新丰温泉宫献诗三首（3）,1102110,15
280,上官昭容,卷5_59,游长宁公主流杯池二十五首（1）,1100100,22
281,上官昭容,卷5_59,游长宁公主流杯池二十五首（2）,2131,9
282,上官昭容,卷5_59,游长宁公主流杯池二十五首（3）,110100,22
283,上官昭容,卷5_59,游长宁公主流杯池二十五首（4）,101010,3
284,上官昭容,卷5_59,游长宁公主流杯池二十五首（5）,1101,10
285,上官昭容,卷5_59,游长宁公主流杯池二十五首（6）,10000,0
286,上官昭容,卷5_59,游长宁公主流杯池二十五首（7）,1000010,6
287,上官昭容,卷5_59,游长宁公主流杯池二十五首（8）,1101101,22
288,上官昭容,卷5_59,游长宁公主流杯池二十五首（9）,313303,5
289,上官昭容,卷5_59,游长宁公主流杯池二十五首（10）,1120101,19
290,上官昭容,卷5_59,游长宁公主流杯池二十五首（11）,312111,4
291,上官昭容,卷5_59,游长宁公主流杯池二十五首（12）,1302,11
292,上官昭容,卷5_59,游长宁公主流杯池二十五首（13）,1001101,7
293,上官昭容,卷5_59,游长宁公主流杯池二十五首（14）,110101,22
294,上官昭容,卷5_59,游长宁公主流杯池二十五首（15）,1101,3
295,上官昭容,卷5_59,游长宁公主流杯池二十五首（16）,1000101,23
296,上官昭容,卷5_59,游长宁公主流杯池二十五首（17）,11101,26
297,上官昭容,卷5_59,游长宁公主流杯池二十五首（18）,1112111,14
298,上官昭容,卷5_59,游长宁公主流杯池二十五首（19）,100100,22
299,上官昭容,卷5_59,游长宁公主流杯池二十五首（20）,101101,12
300,上官昭容,卷5_59,游长宁公主流杯池二十五首（21）,1202,3
301,上官昭容,卷5_59,游长宁公主流杯池二十五首（22）,1101,10
302,上官昭容,卷5_59,游长宁公主流杯池二十五首（23）,122113,19
303,上官昭容,卷5_59,游长宁公主流杯池二十五首（24）,2101204,20
304,上官昭容,卷5_59,游长宁公主流杯池二十五首（25）,101000,26
305,上官昭容,卷5_60,句,100,10
306,杨玉环,卷5_61,赠张云容舞,202101,33
307,江妃,卷5_62,谢赐珍珠,0,16
308,李贤,卷6_1,黄台瓜辞,21010,4
309,李元嘉,卷6_2,奉和同太子监守违恋,2112020,21
310,李贞,卷6_3,奉和圣制过温汤,3001101,25
311,李祎,卷6_4,石桥,1220100,101
312,宜芬公主,卷7_1,虚池驿题屏风,1222010,13
313,宋若华,卷7_2,嘲陆畅,212220,0
314,宋若昭,卷7_3,奉和御制麟德殿宴百僚应制,111010,0
315,宋若宪,卷7_4,奉和御制麟德殿宴百官,2101111,21
316,鲍君徽,卷7_5,奉和麟德殿宴百僚应制,2304231,16
317,鲍君徽,卷7_6,关山月,2318041,22
318,鲍君徽,卷7_7,惜花吟,910008,21
319,鲍君徽,卷7_8,东亭茶宴,122212,0
320,萧妃,卷7_9,夜梦,1400100,4
321,李昪,卷8_1,咏灯,1000000,26
322,李璟,卷8_2,游后湖赏莲花,1300214,25
323,李璟,卷8_3,保大五年元日大雪同太弟景遂汪王景逖齐王…登楼赋,1310204,20
324,李璟,卷8_4,句（1）,0,0
325,李璟,卷8_4,句（2）,1000000,20
326,李璟,卷8_4,句（3）,1000000,4
327,李煜,卷8_5,九月十日偶书,1410002,22
328,李煜,卷8_6,秋莺,400011,25
329,李煜,卷8_7,病起题山舍壁,1101102,22
330,李煜,卷8_8,送邓王二十弟从益牧宣城,221202,7
331,李煜,卷8_9,渡中江望石城泣下,421331,21
332,李煜,卷8_10,挽辞（1）,200001,10
333,李煜,卷8_10,挽辞（2）,1300010,0
334,李煜,卷8_11,悼诗,400002,20
335,李煜,卷8_12,感怀（1）,311101,7
336,李煜,卷8_12,感怀（2）,123030,3
337,李煜,卷8_13,梅花（1）,202011,15
338,李煜,卷8_13,梅花（2）,100001,3
339,李煜,卷8_14,书灵筵手巾,0,15
340,李煜,卷8_15,书琵琶背,0,18
341,李煜,卷8_16,病中感怀,2200000,21
342,李煜,卷8_17,病中书事,2211010,26
343,李煜,卷8_18,赐宫人庆奴,200000,25
344,李煜,卷8_19,题金楼子后,1000000,16
345,李煜,卷8_20,句（1）,1000001,21
346,李煜,卷8_20,句（2）,100001,19
347,李煜,卷8_20,句（3）,101010,8
348,李煜,卷8_20,句（4）,0,15
349,李煜,卷8_20,句（5）,0,25
350,李煜,卷8_20,句（6）,20,10
351,李煜,卷8_20,句（7）,101,21
352,李煜,卷8_20,句（8）,0,12
353,李煜,卷8_20,句（9）,0,68
354,李煜,卷8_20,句（10）,1100000,26
355,李煜,卷8_20,句（11）,1100000,52
356,李煜,卷8_20,句（12）,0,3
357,李煜,卷8_20,句（13）,0,62
358,李煜,卷8_20,句（14）,100,5
359,李煜,卷8_20,句（15）,0,98
360,李煜,卷8_20,句（16）,0,10
361,李从善,卷8_21,蔷薇诗一首十八韵呈东海侍郎徐铉,212135,3
362,李从谦,卷8_22,观棋,100,26
363,李建,卷8_23,赠别唐太师道袭,1021110,101
364,李衍,卷8_24,幸秦川上梓潼山,122000,15
365,李衍,卷8_25,题剑门,1033221,24
366,李衍,卷8_26,过白卫岭和韩昭,2303121,15
367,李衍,卷8_27,宫词,312132,10
368,李衍,卷8_28,醉妆词,1215002,54
369,李衍,卷8_29,句,10,5
370,钱镠,卷8_30,巡衣锦军制还乡歌,1101113,4
371,钱镠,卷8_31,没了期歌（1）,1000,3
372,钱镠,卷8_31,没了期歌（2）,100000,4
373,钱镠,卷8_32,句（1）,0,10
374,钱镠,卷8_32,句（2）,0,9
375,钱镠,卷8_32,句（3）,1011111,22
376,钱俶,卷8_33,宫中作,200001,20
377,孟昶,卷8_34,避暑摩诃池上作,312121,73
378,王继鹏,卷8_35,批叶翘谏书纸尾,400000,25
379,徐氏,卷9_1,丈人观,2000000,15
380,徐氏,卷9_2,玄都观,2001101,7
381,徐氏,卷9_3,丈人观谒先帝御容,11201,14
382,徐氏,卷9_4,题金华宫,3213312,9
383,徐氏,卷9_5,丹景山至德寺,2101111,21
384,徐氏,卷9_6,题彭州阳平化,2102212,22
385,徐氏,卷9_7,三学山夜看圣灯,3102020,0
386,徐氏,卷9_8,题天回驿,1122211,22
387,徐氏,卷9_9,丈人观（以下为太妃时作）,1000000,21
388,徐氏,卷9_10,玄都观,2000000,6
389,徐氏,卷9_11,游丈人观谒先帝御容,1011202,4
390,徐氏,卷9_12,题金华宫,2101,3
391,徐氏,卷9_13,和题丹景山至德寺,2202314,0
392,徐氏,卷9_14,题彭州阳平化,3222131,22
393,徐氏,卷9_15,三学山夜看圣灯,1200000,22
394,徐氏,卷9_16,题天回驿,133412,21
395,佚名,卷10_1,郊庙歌辞·祀圜丘乐章·豫和,2000000,21
396,佚名,卷10_2,郊庙歌辞·祀圜丘乐章·太和,2000000,22
397,佚名,卷10_3,郊庙歌辞·祀圜丘乐章·肃和,2001100,22
398,佚名,卷10_4,郊庙歌辞·祀圜丘乐章·雍和,2100021,0
399,佚名,卷10_5,郊庙歌辞·祀圜丘乐章·寿和,0,10
400,佚名,卷10_6,郊庙歌辞·祀圜丘乐章·舒和,10010,15
401,佚名,卷10_7,郊庙歌辞·祀圜丘乐章·凯安,1101101,51
402,佚名,卷10_8,郊庙歌辞·祀圜丘乐章·豫和,2010010,22
403,佚名,卷10_9,郊庙歌辞·郊天旧乐章·豫和,1010010,4
404,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（1）,1101010,3
405,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（2）,1100010,0
406,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（3）,4100010,22
407,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（4）,2000000,0
408,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（5）,0,26
409,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（6）,1000100,26
410,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（7）,1000000,25
411,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（8）,1010000,22
412,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（9）,1001010,36
413,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（10）,0,92
414,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（11）,0,22
415,佚名,卷10_10,郊庙歌辞·武后大享昊天乐章（12）,2000011,4
416,佚名,卷10_11,中宗祀昊天乐章·豫和,2000000,21
417,佚名,卷10_12,中宗祀昊天乐章·太和,0,6
418,佚名,卷10_13,中宗祀昊天乐章·告谢,1000000,10
419,佚名,卷10_14,中宗祀昊天乐章·肃和,1000000,22
420,佚名,卷10_15,中宗祀昊天乐章·雍和,101,26
421,佚名,卷10_16,中宗祀昊天乐章·福和,0,10
422,佚名,卷10_17,中宗祀昊天乐章·中宫助祭升坛,100020,1
423,佚名,卷10_18,中宗祀昊天乐章·亚献,1000000,10
424,佚名,卷10_19,中宗祀昊天乐章·舒和,0,15
425,佚名,卷10_20,中宗祀昊天乐章·凯安,11101,67
426,佚名,卷10_21,明皇祀圜丘乐章·豫和,1,22
427,佚名,卷10_22,明皇祀圜丘乐章·太和,2111111,15
428,佚名,卷10_23,明皇祀圜丘乐章·肃和,0,75
429,佚名,卷10_24,明皇祀圜丘乐章·雍和,1000100,67
430,佚名,卷10_25,明皇祀圜丘乐章·寿和,10,15
431,佚名,卷10_26,明皇祀圜丘乐章·寿和,3000020,21
432,佚名,卷10_27,明皇祀圜丘乐章·寿和,1000000,10
433,佚名,卷10_28,明皇祀圜丘乐章·舒和,1000000,104
434,佚名,卷10_29,明皇祀圜丘乐章·凯安,3000010,48
435,佚名,卷10_30,明皇祀圜丘乐章·豫和,4000000,15
436,佚名,卷10_31,明皇祀圜丘乐章·太和,1100020,0
437,佚名,卷10_32,封泰山乐章·豫和（1）,1010010,22
438,佚名,卷10_32,封泰山乐章·豫和（2）,1101020,23
439,佚名,卷10_32,封泰山乐章·豫和（3）,10030,21
440,佚名,卷10_32,封泰山乐章·豫和（4）,2000000,15
441,佚名,卷10_32,封泰山乐章·豫和（5）,2101111,10
442,佚名,卷10_32,封泰山乐章·豫和（6）,1000000,82
443,佚名,卷10_33,封泰山乐章·太和,2000000,21
444,佚名,卷10_34,封泰山乐章·肃和,2000000,66
445,佚名,卷10_35,封泰山乐章·雍和,20,22
446,佚名,卷10_36,封泰山乐章·寿和,1000000,10
447,佚名,卷10_37,封泰山乐章·寿和,40,15
448,佚名,卷10_38,封泰山乐章·舒和,1000000,22
449,佚名,卷10_39,封泰山乐章·凯安,0,39
450,佚名,卷10_40,封泰山乐章·豫和,1000010,51
451,佚名,卷10_41,祈谷乐章·肃和,2000010,82
452,佚名,卷10_42,祈谷乐章·雍和,100000,64
453,佚名,卷10_43,祈谷乐章·舒和,1000000,1
454,佚名,卷10_44,明堂乐章·肃和,10,82
455,佚名,卷10_45,明堂乐章·雍和,3000000,75
456,佚名,卷10_46,明堂乐章·舒和,101030,23
457,佚名,卷10_47,武后明堂乐章·外办将出,2100000,10
458,佚名,卷10_48,武后明堂乐章·皇帝行,2010000,19
459,佚名,卷10_49,武后明堂乐章·皇嗣出入升降,2100000,10
460,佚名,卷10_50,武后明堂乐章·迎送王公,100121,0
461,佚名,卷10_51,武后明堂乐章·登歌,0,10
462,佚名,卷10_52,武后明堂乐章·配飨,0,4
463,佚名,卷10_53,武后明堂乐章·宫音,1000010,23
464,佚名,卷10_54,武后明堂乐章·角音,1000000,92
465,佚名,卷10_55,武后明堂乐章·徵音,2010100,35
466,佚名,卷10_56,武后明堂乐章·商音,100010,22
467,佚名,卷10_57,武后明堂乐章·羽音,0,66
468,佚名,卷10_58,雩祀乐章·肃和,1000010,21
469,佚名,卷10_59,雩祀乐章·雍和,10100,75
470,佚名,卷10_60,雩祀乐章·舒和,2010010,0
471,佚名,卷10_61,雩祀乐章·豫和,3000000,10
472,佚名,卷10_62,雩祀乐章·豫和,2020000,35
